failure_id,phase,lane_or_scope,failure_class,symptom,disposition,artifact_preserved,scientific_result_used
F001,P0_REMOTE,workspace,INFRASTRUCTURE,full checkout exhausted persistent-disk inode quota,switched to independent sparse worktree without changing parent or branch,YES,NO
F002,LOCAL_HEAD_HPO,all lanes,ENGINEERING,initial teacher selection admitted repeated partitions from one representation,invalidated attempt and required structural diversity,YES,NO
F003,LOCAL_HEAD_HPO,all lanes,ENGINEERING,per-row Moran and Geary made discarded refinements dominate runtime,invalidated attempt and retained spatial metrics only for selected or aggregate rows,YES,NO
F004,LOCAL_HEAD_HPO,P22,ATTRIBUTION,author-provided 3d-OT context embeddings entered own-method search space,invalidated attempt and excluded every 3DOT_CONTEXT embedding from own HPO,YES,NO
F005,LOCAL_HEAD_HPO,all lanes,RESOURCE,overwide valid grid exceeded practical local CPU budget,stopped without deleting the attempt and froze a mechanism-distinct bounded grid,YES,NO
F006,LOCAL_HEAD_HPO,all lanes,ENGINEERING,coarse head variants of one embedding consumed fine-search slots and underfilled teacher banks,invalidated all affected lanes and reran the complete seven-dataset HPO,YES,NO
F007,SAPR_P0,A1 and P22,ENGINEERING,majority consensus erased a registered small cluster,invalidated both lanes and added label-free cardinality repair,YES,NO
F008,SAPR_P0,A1 and P22,COMPARISON_SEMANTICS,retained control was evaluated after model-adapter standardization,invalidated both lanes and restored the exact frozen retained embedding,YES,NO
F009,SAPR_P0,A1 and P22,ENDPOINT_SEMANTICS,GMM replay parameters did not match the frozen local runner,invalidated both lanes and matched n_init and max_iter,YES,NO
F010,SAPR_SCREEN,all discovery lanes,ENGINEERING,teacher-bank underflow stopped screen before formal rows were produced,retained log then reran after complete head-HPO invalidation,YES,NO
F011,SAPR_SCREEN,all discovery lanes,ENGINEERING,P0 left a zero or newline-only main ledger that pandas could not parse,retained two failure logs and guarded EmptyDataError before restarting the complete screen,YES,NO
F012,DATA_PROTOCOL,GSE213264,DATA_PROVENANCE,canonical public label mask and ordered-ID protocol did not close,marked unsupported and did not manufacture ARI or NMI,YES,NO
F013,FROZEN_CONFIRMATION,D1 and tonsil s3,SCIENTIFIC,S22 full mean ARI fell below retained teacher,kept all seeds and used the negative result in the terminal decision,YES,YES
F014,FROZEN_CONFIRMATION,tonsil s2,SCIENTIFIC,SAPR full improved over its remote matched teacher but was substantially worse than residual-disabled,attributed the effect to adapter or head rather than the SAPR residual,YES,YES
