attempt_id,failure_class,reason,disposition
REMOTE_WORKSPACE_CLONE_ATTEMPT1,INFRASTRUCTURE,timeout; incomplete clone preserved,SUPERSEDED_BY_SUCCESSFUL_INDEPENDENT_WORKTREE
STAGE_A_V1,ENGINEERING,NumPy bool not JSON serializable,FIXED_AND_FULL_STAGE_A_RERUN
STAGE_A_V2,ENGINEERING,byte-exact float comparison was semantically too strict,FIXED_TO_REGISTERED_1E-12_TOLERANCE_AND_FULL_RERUN
SEPAR_EXACT_PREPROCESS_V1,ENGINEERING,object-dtype IDs rejected by no-pickle loader,UNICODE_ID_SCHEMA_AND_FULL_RERUN
GSE213264_FULL_TAR,POLICY_EARLY_STOP,low-throughput full tar unnecessary after range index,ONLY_TWO_WHITELISTED_TONSIL_MEMBERS_RANGE_EXTRACTED
GSE213264_DEDUP_V1,ENGINEERING,paired ID sets equal but row order differs,EXPLICIT_SET_AND_ORDER_AUDIT_V2
MORAN2500,STRUCTURAL,fewer than 2500 finite RNA Moran features,PRESERVED; ONE_PLATFORM_NUMERIC_REVISION_TO_1500
SEPAR_CONTEXT_V1,ENGINEERING,upstream AnnData ArrayView boolean assignment incompatibility after 100 iterations,MATERIALIZED_NUMPY_ARRAYS; FULL_CONTEXT_RERUN
SEPAR_CONTEXT_V2,POLICY_EARLY_STOP,exact external context rerun consumed primary-model compute after protocol/source closure,PARTIAL LOG PRESERVED; NOT USED AS OWN-METHOD EVIDENCE
R40_FULL_GRID_SCREEN_V1,POLICY_EARLY_STOP,full screen dominated compute budget,PRESERVED_AND_REPLACED_BY_DECLARED_QUICK_SUBGRID
SIDE_HEAD_SCREENS_V1,POLICY_EARLY_STOP,A1/tonsil side screens competed with frozen primary unseen-seed work,SIDE TRAINING AND ROUNDTRIP PRESERVED; PRIMARY LANES PRIORITIZED
MORAN1500_HEAD_SCREEN_V1,POLICY_EARLY_STOP,supplemental platform revision competed with frozen primary unseen-seed work,TRAINING AND ROUNDTRIP PRESERVED; NOT USED FOR FORMAL SELECTION
HEAD_SCREEN_FREEZE_V3,ENGINEERING,BLAS spawned 138 threads per process and caused severe oversubscription,EMPTY PARTIAL DIRECTORIES REMOVED; V4 FULL SCREEN RERUN WITH THREAD CAPS
FORMAL_FREEZE_ATTEMPT1,INFRASTRUCTURE,persistent-volume inode limit reached while writing registry,PARTIAL FREEZE PRESERVED; INODE PRESSURE RESOLVED WITHOUT SCIENCE CHANGE; FULL FREEZE RERUN
UNSEEN_TRAINING_V1,INFRASTRUCTURE,batch launcher exited after 20/30 completed round-trips when inode limit was reached,20 COMPLETED RUNS PRESERVED; ONLY THE 10 NEVER-STARTED R40 TASKS RUN IN V2
UNSEEN_EVALUATION_BATCH_LOGGER_V1,ENGINEERING,Python 3.8 Path.write_text rejected newline keyword after all atomic evaluation units completed,45 INDIVIDUAL LEDGERS/MANIFESTS VALIDATED; BATCH MANIFEST RECOVERED WITHOUT RECOMPUTING OR SELECTING ROWS
FINALIZER_V1,ENGINEERING,Python 3.8 Path.write_text rejected newline keyword while writing source audit,PARTIAL HANDOFF PRESERVED; COMPATIBILITY FIX; FULL FINALIZER RERUN
FINALIZER_REPORT_SCOPE_V2,ENGINEERING,aggregate checkpoint count mixed one superseded development-v1 failure with active evidence,"REPORT NOW SEPARATES 30/30 FORMAL, 62/62 ACTIVE, AND ONE PRESERVED SUPERSEDED FAILURE"
FINALIZER_PROTOCOL_CONTEXT_V3,ENGINEERING,draft report implied the budget-stopped SEPAR v2 rerun had completed and omitted the closed P22 K18 score,WORDING CORRECTED AND K18 AUTHOR-SUPPLIED CONTEXT ROW ADDED BEFORE FINAL COMMIT
