method,primary_or_official_source,official_source_commit,license_or_reuse_boundary,mathematical_or_code_object,collision_with_night22a,night22a_action
DEC,https://proceedings.mlr.press/v48/xieb16.html;e551e01f90a3d67d2ef9c90e968c8faf5d8f857d,e551e01f90a3d67d2ef9c90e968c8faf5d8f857d,original Caffe source inspected as prior art; no code copied,Student-t prototype assignment and target-distribution self-training,Direct soft cluster assignment/prototype refinement is fully occupied,Treat prototype/emission assignment as scaffold only
SwAV,https://github.com/facebookresearch/swav,06b1b7cbaf6ba2a792300d79c7299db98b93b7f9,BSD-style repository terms; archived; no code copied,Sinkhorn equipartition and swapped prototype assignment,Prototype assignment plus equal-mass balancing is occupied,Do not claim assignment balancing and do not impose equipartition
P2OT,https://github.com/rhfeiyang/PPOT,33bd8872a87203ddb753cb94a05d639a414c6c06,Creative Commons research/personal use only; implementation not reused,Progressive partial optimal transport for imbalanced deep clustering,Soft assignment with explicit imbalanced-cluster handling is occupied,Keep one-sided nonempty volume floor as safety only
MDNC,paper-level prior-art audit; no authoritative reusable repository closed in this sprint,UNSUPPORTED,No code reuse,Deep multiview clustering with joint assignment/fusion objectives,Ordinary multiview joint clustering/fusion is occupied,No novelty claim for multiview fusion or joint assignment
DeepCut,https://github.com/SAMPL-Weizmann/DeepCut,0f038861c56e5b6cbf2a5c04ee1f499278935778,MIT; source read; clean-room implementation used,Direct GNN optimization of normalized-cut/correlation-clustering objectives,Direct differentiable normalized cut is occupied,Treat normalized association as scaffold and require joint-object ablation
SEPAR,https://github.com/zerovain/SEPAR,6d3475fa0bd749d3b1b5592b68323439d473f9fc,MIT; source read; no code copied,Graph-regularized NMF followed by KMeans,Spatial graph regularization plus downstream KMeans is occupied,Night22A must optimize N x K directly and not claim graph regularization
S3RL,https://github.com/AI4Bread/S3RL,22a983ce4a9fd192172f446c99c7fdb89a1f2145,Official source inspected; reuse not needed,Graph Transformer representation with hyperspherical prototype clustering,Graph representation plus prototype clustering is occupied,No graph-transformer/prototype novelty claim
CRCT,https://ojs.aaai.org/index.php/AAAI/article/view/37646,UNSUPPORTED,Paper-level audit; authoritative reusable repository not closed,Adaptive graph learning plus ISDA rare-cluster prototype augmentation,Adaptive graph/prototype rare-cluster handling is occupied,Do not describe cluster-volume safety or prototypes as new
BANKSY,https://github.com/prabhakarlab/Banksy_py,9278996c39e376277d57ef95278000447ba6c57c,GPL-3.0; source read; no code copied,Multiscale neighbor mean and azimuthal-gradient features followed by PCA/Leiden,Neighbor geometry and Leiden head are occupied,Use Stage-A heads only as ceiling/controls
spaMGCN,official parent source audit,77dfe67d4fd80c124722e68a0f71af36d10fa5fa,MIT; fixed parent commit,Multimodal graph representation learning with dense reconstruction and downstream clustering,Graph fusion and spatial multimodal representation are occupied,Night22A operates only at the partition junction on locked representations
Night22A_joint_object,clean-room local implementation,TO_BE_FINALIZED,Project-owned clean-room code,Direct N x K variable plus elliptical emissions plus cluster-conditioned simplex over equal-mass sparse graph association and non-equipartition floor,Potentially distinguishable only as a joint object; each component separately has strong prior art,Retain a working name only if FULL beats start and every atomic matched arm
