change_id,layer,symptom,correction,scientific_semantics_changed,affected_lane_rerun,status
E001,workspace,full worktree checkout exhausted persistent-disk inode quota,recreated a sparse independent worktree containing source/config/contracts/tests and required authority output,NO,workspace P0,RESOLVED
E002,compute_kit,Night13B MISAR loader could not see the registered Night8B mapping in sparse checkout,added the exact committed outputs/night8b_handoff path to sparse checkout and reran all seven kit datasets,NO,all compute-kit datasets,RESOLVED
E003,test,AST inspection parsed an indented class source fragment,applied textwrap.dedent before ast.parse and reran the complete targeted test file,NO,all targeted tests,RESOLVED
E004,head_hpo,top teacher partitions could repeat one representation/head across seeds,required structural diversity by selecting at most one partition per embedding before SAPR anchor construction,YES_HEAD_TEACHER_SELECTION,all head-HPO lanes,RESOLVED_AND_PRIOR_ATTEMPT_RETAINED
E005,head_hpo,computing Moran and Geary for every discarded refinement dominated local CPU time,kept ARI/NMI/AMI/FMI for all rows and recomputed Moran/Geary only for retained finalist and aggregate partitions,NO,all head-HPO lanes,RESOLVED_AND_PRIOR_ATTEMPT_RETAINED
E006,head_hpo,author-supplied 3d-OT embeddings were available to the own-method P22 search,kept them in the kit for protocol replay but excluded every 3DOT_CONTEXT embedding from own candidate generation,YES_EVIDENCE_ATTRIBUTION,all P22 head-HPO lanes,RESOLVED_AND_PRIOR_ATTEMPT_RETAINED
E007,head_hpo,the first valid internal-only P22 grid spent over 40 minutes before completing one dataset,limited each embedding to seven mechanism-distinct transforms and skipped tied-GMM when N exceeded 5000 while retaining KMeans and diagonal-GMM,NO_RESOURCE_ALLOCATION_ONLY,all head-HPO lanes,RESOLVED_AND_PRIOR_ATTEMPT_RETAINED
E008,SAPR_P0,majority consensus could erase a small cluster even though every teacher had K clusters,restored missing cardinality deterministically from the medoid cluster member with largest vote advantage and reran both family P0 lanes,NO_LABEL_FREE_CARDINALITY_SAFETY,A1 and P22 P0,RESOLVED_AND_FAILURE_RETAINED
E009,head_hpo,fine-search slots were still consumed by multiple coarse heads of the same embedding so most lanes produced fewer than three structurally distinct SAPR teachers,deduplicated coarse finalists by embedding identity before fine search and reran every head-HPO lane,NO_IMPLEMENTATION_OF_REGISTERED_DIVERSITY_RULE,all head-HPO lanes,RESOLVED_AND_FAILED_SCREEN_RETAINED
E010,SAPR_comparison,the retained-teacher ablation was evaluated after model-adapter standardization although its endpoint had been frozen on the original retained embedding,kept standardized input only inside SAPR and evaluated the retained control on the exact frozen embedding then invalidated and reran both-family P0,NO_MODEL_FORMULA_CHANGE_COMPARISON_SEMANTICS_FIX,A1 and P22 P0 plus all SAPR formal lanes,RESOLVED_AND_OLD_P0_RETAINED
E011,SAPR_audit,successive P0 screen finalist and confirmation invocations would overwrite resource audit provenance and omit phase from the run ledger,loaded and appended the prior audit and registered experiment_phase on every row before formal screening,NO,all SAPR phases,RESOLVED_BEFORE_FORMAL
E012,SAPR_endpoint,the SAPR evaluator used GMM n_init 3 and 300 iterations while the frozen head search used n_init 1 and 120 so even the exact retained embedding did not replay its registered partition,matched the GMM fit parameters to the frozen local runner and invalidated both-family P0 again,NO_ENDPOINT_SEMANTICS_REPAIR,A1 and P22 P0 plus all SAPR formal lanes,RESOLVED_AND_OLD_P0_RETAINED
E013,SAPR_phase_IO,the P0 phase wrote a zero-byte main ledger because its six rows belong only to the P0 audit and the subsequent screen could not parse it,guarded empty-ledger reads and writes then restarted the complete screen before any formal row was produced,NO,SAPR screen,RESOLVED_AND_FAILURE_LOG_RETAINED
