artifact,rows,sha256,status,path
start_bank_probe,396,30bba0b03f2479bb280f9eded68756618d529aef18474b19e83677aece5fef3e,valid; labels appended only after candidate construction,D:\文档\ChatGPT\博士第一篇科研论文项目\night16a_local_work\working\start_bank_probe\start_bank_probe_ledger.csv
development_energy_arena,1008,81b21d5bcf17a3c5fe78cdac9e23e3b0334d8e1e78135abc0360f9f1ea15d059,metrics valid; per-row parameter metadata repaired from registry for delivery,D:\文档\ChatGPT\博士第一篇科研论文项目\night16a_local_work\working\calibrated_arena_all9_v2\calibrated_arena_ledger.csv
strict_generated_v1,540,f0bc3397448fecae2e43f7e9a203daa44d1c05ca0b98e5151bc6ce468b658b5b,superseded: arena-writer parameter metadata bug,D:\文档\ChatGPT\博士第一篇科研论文项目\night16a_local_work\working\strict_generated_arena_v1\calibrated_arena_ledger.csv
strict_generated_v2,540,a84499e788c8ae27fa0ed03ae7db7752c11aee9809e415baa2444e0aebae5432,valid,D:\文档\ChatGPT\博士第一篇科研论文项目\night16a_local_work\working\strict_generated_arena_v2\calibrated_arena_ledger.csv
fixed_start_v1,432,29d94221e458ccb80abe7f4833f3b509dd8fd92fd73a83f21a87d2ec17c32c1a,superseded: arena-writer parameter metadata bug,D:\文档\ChatGPT\博士第一篇科研论文项目\night16a_local_work\working\fixed_start_arena_v1\calibrated_arena_ledger.csv
fixed_start_v2,432,ede1a9756779b184298c64e153af73a9413cca21c4025c1ef0a27f4f2bfc7ce8,valid,D:\文档\ChatGPT\博士第一篇科研论文项目\night16a_local_work\working\fixed_start_arena_v2\calibrated_arena_ledger.csv
D1_microcluster_probe,2970,720c8b617d02709f20254247fe2e07abfa2ca6bdb236e66b052bd4bd5ae92191,valid internal exploration,D:\文档\ChatGPT\博士第一篇科研论文项目\night16a_local_work\working\microcluster_repair_d1\microcluster_repair_ledger.csv
D1_balanced_repair,1600,f9dd00b80afeff8db701e0ddaf5b0cb0bb727ceed9258b3879b0408b83632d20,valid internal exploration,D:\文档\ChatGPT\博士第一篇科研论文项目\night16a_local_work\working\balanced_repair_d1\balanced_repair_ledger.csv
secondary_repair,560,ac4f2f954a74245af7f97a7765239bef599c55c4e7052c708158f7ca18427ffa,valid internal exploration,D:\文档\ChatGPT\博士第一篇科研论文项目\night16a_local_work\working\structural_repair_secondary\structural_repair_ledger.csv
matched_ablation,42,d553e00d22f778045faafd90326c924adb32d45079bd7ef7d7778a952ffb9cc3,valid strict automatic ablation,D:\文档\ChatGPT\博士第一篇科研论文项目\night16a_local_work\working\matched_ablation.csv
